"max_co2","time_st","vehicle","__dt"
"2624.72","2.0","3","2023-04-11 00:00:00.000"
"2920.66","3.0","3","2023-04-11 00:00:00.000"
"4732.49","4.0","3","2023-04-11 00:00:00.000"
"4761.75","5.0","3","2023-04-11 00:00:00.000"
"7616.25","6.0","3","2023-04-11 00:00:00.000"
"7725.42","7.0","3","2023-04-11 00:00:00.000"
"7725.42","8.0","3","2023-04-11 00:00:00.000"
"7725.42","9.0","3","2023-04-11 00:00:00.000"
"7725.42","10.0","3","2023-04-11 00:00:00.000"
"7725.42","11.0","3","2023-04-11 00:00:00.000"
"8761.14","12.0","3","2023-04-11 00:00:00.000"
"8761.14","13.0","3","2023-04-11 00:00:00.000"
"8761.14","14.0","3","2023-04-11 00:00:00.000"
"9638.66","114.0","3","2023-04-11 00:00:00.000"
"9638.66","115.0","3","2023-04-11 00:00:00.000"
"9638.66","116.0","3","2023-04-11 00:00:00.000"
"9638.66","117.0","3","2023-04-11 00:00:00.000"
"9638.66","118.0","3","2023-04-11 00:00:00.000"
"9638.66","119.0","3","2023-04-11 00:00:00.000"
"9638.66","120.0","3","2023-04-11 00:00:00.000"
"9638.66","121.0","3","2023-04-11 00:00:00.000"
"9638.66","122.0","3","2023-04-11 00:00:00.000"
"9638.66","123.0","3","2023-04-11 00:00:00.000"
"9638.66","124.0","3","2023-04-11 00:00:00.000"
"9638.66","125.0","3","2023-04-11 00:00:00.000"
"9638.66","126.0","3","2023-04-11 00:00:00.000"
"9638.66","127.0","3","2023-04-11 00:00:00.000"
"9638.66","128.0","3","2023-04-11 00:00:00.000"
"9638.66","129.0","3","2023-04-11 00:00:00.000"
"9638.66","130.0","3","2023-04-11 00:00:00.000"
"9638.66","131.0","3","2023-04-11 00:00:00.000"
"9638.66","132.0","3","2023-04-11 00:00:00.000"
"9638.66","133.0","3","2023-04-11 00:00:00.000"
"9337.84","35.0","3","2023-04-11 00:00:00.000"
"9337.84","36.0","3","2023-04-11 00:00:00.000"
"9337.84","37.0","3","2023-04-11 00:00:00.000"
"9337.84","38.0","3","2023-04-11 00:00:00.000"
"9337.84","39.0","3","2023-04-11 00:00:00.000"
"9337.84","40.0","3","2023-04-11 00:00:00.000"
"9337.84","41.0","3","2023-04-11 00:00:00.000"
"9337.84","42.0","3","2023-04-11 00:00:00.000"
"9337.84","43.0","3","2023-04-11 00:00:00.000"
"9337.84","44.0","3","2023-04-11 00:00:00.000"
"9337.84","45.0","3","2023-04-11 00:00:00.000"
"9337.84","46.0","3","2023-04-11 00:00:00.000"
"9337.84","47.0","3","2023-04-11 00:00:00.000"
"9337.84","48.0","3","2023-04-11 00:00:00.000"
"9337.84","49.0","3","2023-04-11 00:00:00.000"
"9337.84","50.0","3","2023-04-11 00:00:00.000"
"9337.84","51.0","3","2023-04-11 00:00:00.000"
"9638.66","52.0","3","2023-04-11 00:00:00.000"
"9638.66","53.0","3","2023-04-11 00:00:00.000"
"9638.66","54.0","3","2023-04-11 00:00:00.000"
"9638.66","95.0","3","2023-04-11 00:00:00.000"
"9638.66","96.0","3","2023-04-11 00:00:00.000"
"9638.66","97.0","3","2023-04-11 00:00:00.000"
"9638.66","98.0","3","2023-04-11 00:00:00.000"
"9638.66","99.0","3","2023-04-11 00:00:00.000"
"9638.66","100.0","3","2023-04-11 00:00:00.000"
"9638.66","101.0","3","2023-04-11 00:00:00.000"
"9638.66","102.0","3","2023-04-11 00:00:00.000"
"9638.66","103.0","3","2023-04-11 00:00:00.000"
"9638.66","104.0","3","2023-04-11 00:00:00.000"
"9638.66","105.0","3","2023-04-11 00:00:00.000"
"9638.66","106.0","3","2023-04-11 00:00:00.000"
"9638.66","107.0","3","2023-04-11 00:00:00.000"
"9638.66","108.0","3","2023-04-11 00:00:00.000"
"9638.66","109.0","3","2023-04-11 00:00:00.000"
"9638.66","110.0","3","2023-04-11 00:00:00.000"
"9638.66","111.0","3","2023-04-11 00:00:00.000"
"9638.66","112.0","3","2023-04-11 00:00:00.000"
"9638.66","113.0","3","2023-04-11 00:00:00.000"
"9638.66","154.0","3","2023-04-11 00:00:00.000"
"9638.66","155.0","3","2023-04-11 00:00:00.000"
"9638.66","156.0","3","2023-04-11 00:00:00.000"
"9638.66","157.0","3","2023-04-11 00:00:00.000"
"9638.66","158.0","3","2023-04-11 00:00:00.000"
"9638.66","159.0","3","2023-04-11 00:00:00.000"
"9638.66","160.0","3","2023-04-11 00:00:00.000"
"8761.14","15.0","3","2023-04-11 00:00:00.000"
"8761.14","16.0","3","2023-04-11 00:00:00.000"
"8761.14","17.0","3","2023-04-11 00:00:00.000"
"8761.14","18.0","3","2023-04-11 00:00:00.000"
"8761.14","19.0","3","2023-04-11 00:00:00.000"
"8761.14","20.0","3","2023-04-11 00:00:00.000"
"8761.14","21.0","3","2023-04-11 00:00:00.000"
"8761.14","22.0","3","2023-04-11 00:00:00.000"
"8761.14","23.0","3","2023-04-11 00:00:00.000"
"8761.14","24.0","3","2023-04-11 00:00:00.000"
"8761.14","25.0","3","2023-04-11 00:00:00.000"
"8761.14","26.0","3","2023-04-11 00:00:00.000"
"8761.14","27.0","3","2023-04-11 00:00:00.000"
"9337.84","28.0","3","2023-04-11 00:00:00.000"
"9337.84","29.0","3","2023-04-11 00:00:00.000"
"9337.84","30.0","3","2023-04-11 00:00:00.000"
"9337.84","31.0","3","2023-04-11 00:00:00.000"
"9337.84","32.0","3","2023-04-11 00:00:00.000"
"9337.84","33.0","3","2023-04-11 00:00:00.000"
"9337.84","34.0","3","2023-04-11 00:00:00.000"
"9638.66","75.0","3","2023-04-11 00:00:00.000"
"9638.66","76.0","3","2023-04-11 00:00:00.000"
"9638.66","77.0","3","2023-04-11 00:00:00.000"
"9638.66","78.0","3","2023-04-11 00:00:00.000"
"9638.66","79.0","3","2023-04-11 00:00:00.000"
"9638.66","80.0","3","2023-04-11 00:00:00.000"
"9638.66","81.0","3","2023-04-11 00:00:00.000"
"9638.66","82.0","3","2023-04-11 00:00:00.000"
"9638.66","83.0","3","2023-04-11 00:00:00.000"
"9638.66","84.0","3","2023-04-11 00:00:00.000"
"9638.66","85.0","3","2023-04-11 00:00:00.000"
"9638.66","86.0","3","2023-04-11 00:00:00.000"
"9638.66","87.0","3","2023-04-11 00:00:00.000"
"9638.66","88.0","3","2023-04-11 00:00:00.000"
"9638.66","89.0","3","2023-04-11 00:00:00.000"
"9638.66","90.0","3","2023-04-11 00:00:00.000"
"9638.66","91.0","3","2023-04-11 00:00:00.000"
"9638.66","92.0","3","2023-04-11 00:00:00.000"
"9638.66","93.0","3","2023-04-11 00:00:00.000"
"9638.66","94.0","3","2023-04-11 00:00:00.000"
"9638.66","55.0","3","2023-04-11 00:00:00.000"
"9638.66","56.0","3","2023-04-11 00:00:00.000"
"9638.66","57.0","3","2023-04-11 00:00:00.000"
"9638.66","58.0","3","2023-04-11 00:00:00.000"
"9638.66","59.0","3","2023-04-11 00:00:00.000"
"9638.66","60.0","3","2023-04-11 00:00:00.000"
"9638.66","61.0","3","2023-04-11 00:00:00.000"
"9638.66","62.0","3","2023-04-11 00:00:00.000"
"9638.66","63.0","3","2023-04-11 00:00:00.000"
"9638.66","64.0","3","2023-04-11 00:00:00.000"
"9638.66","65.0","3","2023-04-11 00:00:00.000"
"9638.66","66.0","3","2023-04-11 00:00:00.000"
"9638.66","67.0","3","2023-04-11 00:00:00.000"
"9638.66","68.0","3","2023-04-11 00:00:00.000"
"9638.66","69.0","3","2023-04-11 00:00:00.000"
"9638.66","70.0","3","2023-04-11 00:00:00.000"
"9638.66","71.0","3","2023-04-11 00:00:00.000"
"9638.66","72.0","3","2023-04-11 00:00:00.000"
"9638.66","73.0","3","2023-04-11 00:00:00.000"
"9638.66","74.0","3","2023-04-11 00:00:00.000"
"9638.66","134.0","3","2023-04-11 00:00:00.000"
"9638.66","135.0","3","2023-04-11 00:00:00.000"
"9638.66","136.0","3","2023-04-11 00:00:00.000"
"9638.66","137.0","3","2023-04-11 00:00:00.000"
"9638.66","138.0","3","2023-04-11 00:00:00.000"
"9638.66","139.0","3","2023-04-11 00:00:00.000"
"9638.66","140.0","3","2023-04-11 00:00:00.000"
"9638.66","141.0","3","2023-04-11 00:00:00.000"
"9638.66","142.0","3","2023-04-11 00:00:00.000"
"9638.66","143.0","3","2023-04-11 00:00:00.000"
"9638.66","144.0","3","2023-04-11 00:00:00.000"
"9638.66","145.0","3","2023-04-11 00:00:00.000"
"9638.66","146.0","3","2023-04-11 00:00:00.000"
"9638.66","147.0","3","2023-04-11 00:00:00.000"
"9638.66","148.0","3","2023-04-11 00:00:00.000"
"9638.66","149.0","3","2023-04-11 00:00:00.000"
"9638.66","150.0","3","2023-04-11 00:00:00.000"
"9638.66","151.0","3","2023-04-11 00:00:00.000"
"9638.66","152.0","3","2023-04-11 00:00:00.000"
"9638.66","153.0","3","2023-04-11 00:00:00.000"
